0 8.0 21 42
1 8.0 98 45
2 6.0 65 53
3 17.0 84 16
4 4.0 32 95
5 5.0 74 44
6 11.0 0 16
7 9.0 74 93
8 10.0 97 15
9 12.0 72 24
10 8.0 65 30
11 12.0 74 45
12 12.0 13 12
13 12.0 13 98
14 12.0 93 0
15 12.0 0 66
16 9.0 84 0
17 15.0 13 53
18 8.0 74 68
19 8.0 69 81
20 9.0 32 27
21 10.0 52 21
22 12.0 1 98
23 11.0 95 77
24 14.0 69 83
25 11.0 84 27
26 12.0 97 22
27 10.0 69 21
28 9.0 89 91
29 11.0 66 95
30 16.0 13 53
31 13.0 15 21
32 6.0 84 30
33 2.0 72 80
34 13.0 98 53
35 17.0 21 68
36 8.0 88 24
37 2.0 66 39
38 11.0 66 15
39 8.0 93 2
40 11.0 66 30
41 12.0 36 68
42 14.0 72 21
43 13.0 38 57
44 8.0 38 27
45 12.0 0 31
46 10.0 88 19
47 10.0 84 63
48 14.0 65 2
49 7.0 21 67
50 7.0 28 21
51 13.0 32 45
52 3.0 88 27
53 5.0 47 77
54 12.0 21 26
55 4.0 95 98
56 5.0 21 30
57 7.0 0 95
58 6.0 84 24
59 9.0 93 2
60 12.0 98 0
61 12.0 95 12
62 9.0 69 24
63 10.0 47 2
64 12.0 66 80
65 3.0 47 15
66 10.0 0 95
67 9.0 98 19
68 14.0 28 81
69 11.0 66 93
70 10.0 93 98
71 7.0 32 80
72 13.0 32 80
73 12.0 88 15
74 12.0 98 45
75 9.0 87 80
76 16.0 13 27
77 7.0 28 81
78 10.0 21 15
79 10.0 48 15
80 12.0 13 53
81 6.0 74 15
82 12.0 72 23
83 14.0 74 98
84 12.0 13 42
85 11.0 13 15
86 16.0 64 45
87 10.0 97 2
88 10.0 32 81
89 15.0 1 66
90 13.0 76 15
91 6.0 32 16
92 7.0 98 0
93 14.0 97 39
94 9.0 74 24
95 8.0 13 66
96 12.0 66 26
97 11.0 48 45
98 12.0 95 53
99 7.0 10 21
