epoch    transactions         link-changes        
1        3                    3810                
2        1                    3481                
3        1                    3282                
4        18                   3463                
5        57                   4404                
6        2                    4765                
7        1                    4569                
8        4                    4275                
9        4                    4686                
10       6                    8112                
11       4                    5498                
12       14                   5329                
13       11                   4423                
14       3                    828                 
15       4                    1                   
16       1                    1                   
17       1                    1                   
18       1                    1                   
19       6                    1                   
20       7                    1                   
21       7                    1                   
22       1                    1                   
23       36                   1                   
24       6                    1                   
25       21                   1                   
26       50                   1                   
27       35                   1                   
28       56                   1                   
29       29                   1                   
30       57                   1                   
31       44                   1                   
32       57                   1                   
33       54                   1                   
34       85                   1                   
35       34                   1                   
36       27                   1                   
37       98                   1                   
38       28                   1                   
39       29                   1                   
40       39                   1                   
41       81                   1                   
42       42                   1                   
43       122                  1                   
44       53                   1                   
45       15                   1                   
46       66                   1                   
47       113                  1                   
48       55                   1                   
49       36                   1                   
50       50                   1                   
51       58                   1                   
52       81                   1                   
53       88                   1                   
54       141                  1                   
55       119                  1                   
56       141                  1                   
57       129                  1                   
58       269                  1                   
59       227                  1                   
60       307                  1                   
61       320                  1                   
62       247                  1                   
63       298                  1                   
64       260                  1                   
65       205                  1                   
66       216                  1                   
67       161                  1                   
68       190                  1                   
69       263                  1                   
70       397                  1                   
71       449                  1                   
72       345                  1                   
73       293                  1                   
74       354                  1                   
75       215                  1                   
76       306                  1                   
77       301                  1                   
78       427                  1                   
79       307                  1                   
80       334                  1                   
81       364                  1                   
82       249                  1                   
83       175                  1                   
84       199                  1                   
85       197                  1                   
86       305                  1                   
87       633                  1                   
88       313                  1                   
89       286                  1                   
90       363                  1                   
91       399                  1                   
92       294                  1                   
93       307                  1                   
94       267                  1                   
95       210                  1                   
96       308                  1                   
97       232                  1                   
98       274                  1                   
99       185                  1                   
100      179                  1                   
101      100                  1                   
102      178                  1                   
103      143                  1                   
104      144                  1                   
105      270                  1                   
106      257                  1                   
107      233                  1                   
108      203                  1                   
109      247                  1                   
110      260                  1                   
111      227                  1                   
112      115                  1                   
113      145                  1                   
114      309                  1                   
115      261                  1                   
116      196                  1                   
117      152                  1                   
118      150                  1                   
119      164                  1                   
120      107                  1                   
121      166                  1                   
122      185                  1                   
123      164                  1                   
124      152                  1                   
125      86                   1                   
126      200                  1                   
127      192                  1                   
128      130                  1                   
129      89                   1                   
130      194                  1                   
131      190                  1                   
132      173                  1                   
133      123                  1                   
134      112                  1                   
135      124                  1                   
136      71                   1                   
137      72                   1                   
138      70                   1                   
139      111                  1                   
140      98                   1                   
141      119                  1                   
142      90                   1                   
143      74                   1                   
144      99                   1                   
145      72                   1                   
146      52                   1                   
147      60                   1                   
148      64                   1                   
149      87                   1                   
150      94                   1                   
151      209                  1                   
152      262                  1                   
153      200                  1                   
154      103                  1                   
155      92                   1                   
156      136                  1                   
157      193                  1                   
158      166                  1                   
159      148                  1                   
160      145                  1                   
161      218                  1                   
162      95                   1                   
163      100                  1                   
164      239                  1                   
165      211                  1                   
166      181                  1                   
167      128                  1                   
168      134                  1                   
169      202                  1                   
170      172                  1                   
171      220                  1                   
172      221                  1                   
173      249                  1                   
174      317                  1                   
175      229                  1                   
176      410                  1                   
177      340                  1                   
178      353                  1                   
179      485                  1                   
180      439                  1                   
181      403                  1                   
182      519                  1                   
183      650                  1                   
184      475                  1                   
185      384                  1                   
186      522                  1                   
187      283                  1                   
188      415                  1                   
189      694                  1                   
190      537                  1                   
191      529                  1                   
192      676                  1                   
193      1933                 1                   
194      2300                 1                   
195      1580                 1                   
196      1982                 1                   
197      2927                 1                   
198      1308                 1                   
199      1653                 1                   
